t 1 2 jV0100 
6.98 10 9.99056 -0.00188864
6.99 10 9.99065 -0.00186985
7 10 9.99074 -0.00185124
7.01 10 9.99084 -0.00183282
7.02 10 9.99093 -0.00181458
7.03 10 9.99102 -0.00179653
7.04 10 9.99111 -0.00177865
7.05 10 9.9912 -0.00176096
7.06 10 9.99128 -0.00174343
7.07 10 9.99137 -0.00172609
7.08 10 9.99146 -0.00170891
7.09 10 9.99154 -0.00169191
7.1 10 9.99162 -0.00167507
7.11 10 9.99171 -0.0016584
7.12 10 9.99179 -0.0016419
7.13 10 9.99187 -0.00162557
7.14 10 9.99195 -0.00160939
7.15 10 9.99203 -0.00159338
7.16 10 9.99211 -0.00157752
7.17 10 9.99219 -0.00156183
7.18 10 9.99227 -0.00154628
7.19 10 9.99235 -0.0015309
7.2 10 9.99242 -0.00151567
7.21 10 9.9925 -0.00150058
7.22 10 9.99257 -0.00148565
7.23 10 9.99265 -0.00147087
7.24 10 9.99272 -0.00145624
7.25 10 9.99279 -0.00144175
7.26 10 9.99286 -0.0014274
7.27 10 9.99293 -0.0014132
7.28 10 9.993 -0.00139914
7.29 10 9.99307 -0.00138521
7.3 10 9.99314 -0.00137143
7.31 10 9.99321 -0.00135778
7.32 10 9.99328 -0.00134427
7.33 10 9.99335 -0.0013309
7.34 10 9.99341 -0.00131766
7.35 10 9.99348 -0.00130454
7.36 10 9.99354 -0.00129156
7.37 10 9.99361 -0.00127871
7.38 10 9.99367 -0.00126599
7.39 10 9.99373 -0.00125339
7.4 10 9.9938 -0.00124092
7.41 10 9.99386 -0.00122857
7.42 10 9.99392 -0.00121635
7.43 10 9.99398 -0.00120425
7.44 10 9.99404 -0.00119226
7.45 10 9.9941 -0.0011804
7.46 10 9.99416 -0.00116865
7.47 10 9.99421 -0.00115703
7.48 10 9.99427 -0.00114551
7.49 10 9.99433 -0.00113412
7.5 10 9.99439 -0.00112283
7.51 10 9.99444 -0.00111166
7.52 10 9.9945 -0.0011006
7.53 10 9.99455 -0.00108965
7.54 10 9.99461 -0.0010788
7.55 10 9.99466 -0.00106807
7.56 10 9.99471 -0.00105744
7.57 10 9.99477 -0.00104692
7.58 10 9.99482 -0.0010365
7.59 10 9.99487 -0.00102619
7.6 10 9.99492 -0.00101598
7.61 10 9.99497 -0.00100587
7.62 10 9.99502 -0.00099586
7.63 10 9.99507 -0.000985951
7.64 10 9.99512 -0.000976141
7.65 10 9.99517 -0.000966428
7.66 10 9.99522 -0.000956812
7.67 10 9.99526 -0.000947291
7.68 10 9.99531 -0.000937865
7.69 10 9.99536 -0.000928533
7.7 10 9.9954 -0.000919294
7.71 10 9.99545 -0.000910147
7.72 10 9.99549 -0.000901091
7.73 10 9.99554 -0.000892125
7.74 10 9.99558 -0.000883248
7.75 10 9.99563 -0.000874459
7.76 10 9.99567 -0.000865758
7.77 10 9.99571 -0.000857144
7.78 10 9.99576 -0.000848615
7.79 10 9.9958 -0.000840171
7.8 10 9.99584 -0.000831811
7.81 10 9.99588 -0.000823534
7.82 10 9.99592 -0.00081534
7.83 10 9.99596 -0.000807227
7.84 10 9.996 -0.000799195
7.85 10 9.99604 -0.000791243
7.86 10 9.99608 -0.00078337
7.87 10 9.99612 -0.000775575
7.88 10 9.99616 -0.000767858
7.89 10 9.9962 -0.000760218
7.9 10 9.99624 -0.000752653
7.91 10 9.99627 -0.000745164
7.92 10 9.99631 -0.00073775
7.93 10 9.99635 -0.000730409
7.94 10 9.99638 -0.000723141
